"glyph_id","char","status","note"
"1","0","confirmed","FUN_8008d1d8 ASCII digit mapping"
"2","1","confirmed","FUN_8008d1d8 ASCII digit mapping"
"3","2","confirmed","FUN_8008d1d8 ASCII digit mapping"
"4","3","confirmed","FUN_8008d1d8 ASCII digit mapping"
"5","4","confirmed","FUN_8008d1d8 ASCII digit mapping"
"6","5","confirmed","FUN_8008d1d8 ASCII digit mapping"
"7","6","confirmed","FUN_8008d1d8 ASCII digit mapping"
"8","7","confirmed","FUN_8008d1d8 ASCII digit mapping"
"9","8","confirmed","FUN_8008d1d8 ASCII digit mapping"
"10","9","confirmed","FUN_8008d1d8 ASCII digit mapping"
"11","A","confirmed","FUN_8008d1d8 ASCII uppercase mapping"
"12","B","confirmed","FUN_8008d1d8 ASCII uppercase mapping"
"13","C","confirmed","FUN_8008d1d8 ASCII uppercase mapping"
"14","D","confirmed","FUN_8008d1d8 ASCII uppercase mapping"
"15","E","confirmed","visual 8x14 font chart"
"16","F","confirmed","visual 8x14 font chart"
"17","G","confirmed","visual 8x14 font chart"
"18","H","confirmed","visual 8x14 font chart"
"19","I","confirmed","visual 8x14 font chart"
"20","J","confirmed","visual 8x14 font chart"
"21","K","confirmed","visual 8x14 font chart"
"22","L","confirmed","visual 8x14 font chart"
"23","M","confirmed","visual 8x14 font chart"
"24","N","confirmed","visual 8x14 font chart"
"25","O","confirmed","visual 8x14 font chart"
"26","P","confirmed","visual 8x14 font chart"
"27","Q","confirmed","visual 8x14 font chart"
"28","R","confirmed","visual 8x14 font chart"
"29","S","confirmed","visual 8x14 font chart"
"30","T","confirmed","visual 8x14 font chart"
"31","U","confirmed","visual 8x14 font chart"
"32","V","confirmed","visual 8x14 font chart"
"33","W","confirmed","visual 8x14 font chart"
"34","X","confirmed","visual 8x14 font chart"
"35","Y","confirmed","visual 8x14 font chart"
"36","Z","confirmed","visual 8x14 font chart"
"37","あ","confirmed","visual 8x14 hiragana chart; UI context 空きがありません"
"38","い","confirmed","visual 8x14 hiragana chart; UI context Aボタンを押してください"
"39","う","confirmed","visual 8x14 hiragana chart"
"40","え","confirmed","visual 8x14 hiragana chart"
"41","お","confirmed","visual 8x14 hiragana chart"
"42","か","confirmed","visual 8x14 hiragana chart"
"43","き","confirmed","visual 8x14 hiragana chart; table 0:82 蒼き流星SPTレイズナー"
"44","く","confirmed","visual 8x14 hiragana chart; UI context Aボタンを押してください"
"45","け","confirmed","visual 8x14 hiragana chart"
"46","こ","confirmed","visual 8x14 hiragana chart"
"47","さ","confirmed","visual 8x14 hiragana chart; UI context Aボタンを押してください"
"48","し","confirmed","visual 8x14 hiragana chart; UI context Aボタンを押してください"
"49","す","confirmed","visual 8x14 hiragana chart"
"50","せ","confirmed","visual 8x14 hiragana chart; UI context 空きがありません"
"51","そ","confirmed","visual 8x14 hiragana chart"
"52","た","confirmed","visual 8x14 hiragana chart"
"53","ち","confirmed","visual 8x14 hiragana chart"
"54","つ","confirmed","visual 8x14 hiragana chart"
"55","て","confirmed","visual 8x14 hiragana chart; UI context Aボタンを押してください"
"56","と","confirmed","visual 8x14 hiragana chart"
"57","な","confirmed","visual 8x14 hiragana chart"
"58","に","confirmed","visual 8x14 hiragana chart"
"59","ぬ","confirmed","visual 8x14 hiragana chart"
"60","ね","confirmed","visual 8x14 hiragana chart"
"61","の","confirmed","visual 8x14 hiragana chart; table 0:90 逆襲のシャア"
"62","は","confirmed","visual 8x14 hiragana chart"
"63","ひ","confirmed","visual 8x14 hiragana chart"
"64","ふ","confirmed","visual 8x14 hiragana chart"
"65","へ","confirmed","visual 8x14 hiragana chart"
"66","ほ","confirmed","visual 8x14 hiragana chart"
"67","ま","confirmed","visual 8x14 hiragana chart; UI context 空きがありません"
"68","み","confirmed","visual 8x14 hiragana chart"
"69","む","confirmed","visual 8x14 hiragana chart"
"70","め","confirmed","visual 8x14 hiragana chart"
"71","も","confirmed","visual 8x14 hiragana chart"
"72","や","confirmed","visual 8x14 hiragana chart"
"73","ゆ","confirmed","visual 8x14 hiragana chart"
"74","よ","confirmed","visual 8x14 hiragana chart"
"75","ら","confirmed","visual 8x14 hiragana chart"
"76","り","confirmed","visual 8x14 hiragana chart; UI context 空きがありません"
"77","る","confirmed","visual 8x14 hiragana chart"
"78","れ","confirmed","visual 8x14 hiragana chart"
"79","ろ","confirmed","visual 8x14 hiragana chart"
"80","わ","confirmed","visual 8x14 hiragana chart"
"81","を","confirmed","visual 8x14 hiragana chart; UI context Aボタンを押してください"
"82","ん","confirmed","visual 8x14 hiragana chart; UI context 空きがありません"
"92","が","confirmed","visual UI context コントローラパックが接続されていません"
"102","だ","confirmed","visual UI context Aボタンを押してください"
"105","で","confirmed","visual UI context 空きページが必要です"
"198","?","confirmed","FUN_8008d1d8 ASCII special mapping"
"210","+","confirmed","FUN_8008d1d8 ASCII special mapping"
"211","ー","confirmed","visual long vowel mark; FUN_8008d1d8 '-' also maps here"
"212","$","confirmed","FUN_8008d1d8 ASCII special mapping"
"213","/","confirmed","FUN_8008d1d8 ASCII special mapping"
"217","p","confirmed","FUN_8008d1d8 ASCII special mapping"
"218","_","confirmed","FUN_8008d1d8 ASCII special mapping"
"220","「","confirmed","visual quote opener; dialogue context"
"221","」","confirmed","visual quote closer; dialogue context"
"224","(","confirmed","FUN_8008d1d8 ASCII special mapping"
"225",")","confirmed","FUN_8008d1d8 ASCII special mapping"
"124","ク","confirmed","visual table 0:11 クレバス"
"129","ス","confirmed","visual table 0:11 クレバス"
"132","タ","confirmed","visual table 0:35 クレーター"
"118","イ","confirmed","visual table 0:72 UFOロボ グレンダイザー"
"121","オ","confirmed","visual table 0:100 オリジナル"
"117","ア","confirmed","visual table 0:84 ジャイアント・ロボ"
"126","コ","confirmed","visual table 0:76 超電磁ロボ コン・バトラーV"
"128","シ","confirmed","visual table 0:79 戦国魔神ゴーショーグン"
"136","ト","confirmed","visual table 0:71 グレートマジンガー"
"137","ナ","confirmed","visual table 0:82 蒼き流星SPTレイズナー"
"147","マ","confirmed","visual table 0:70 マジンガー"
"149","ム","confirmed","visual table 0:60 機動戦士ガンダム"
"155","ラ","confirmed","visual table 0:76 超電磁ロボ コン・バトラーV"
"156","リ","confirmed","visual table 0:100 オリジナル"
"157","ル","confirmed","visual table 0:19 高層ビル"
"158","レ","confirmed","visual table 0:11 クレバス; table 0:35 クレーター"
"159","ロ","confirmed","visual table 0:72 UFOロボ グレンダイザー"
"162","ン","confirmed","visual table 0:60 機動戦士ガンダム"
"172","ガ","confirmed","visual table 0:60 機動戦士ガンダム"
"168","ッ","confirmed","visual table 0:73 ゲッターロボ"
"169","ャ","confirmed","visual table 0:84 ジャイアント・ロボ"
"171","ョ","confirmed","visual table 0:79 戦国魔神ゴーショーグン"
"174","グ","confirmed","visual table 0:71 グレートマジンガー"
"175","ゲ","confirmed","visual table 0:73 ゲッターロボ"
"176","ゴ","confirmed","visual table 0:79 戦国魔神ゴーショーグン"
"177","ザ","confirmed","visual table 0:72 UFOロボ グレンダイザー"
"178","ジ","confirmed","visual table 0:70 マジンガー"
"179","ズ","confirmed","visual table 0:82 蒼き流星SPTレイズナー"
"182","ダ","confirmed","visual table 0:60 機動戦士ガンダム"
"186","ド","confirmed","visual table 0:83 六神合体ゴッドマーズ"
"187","バ","confirmed","visual table 0:11 クレバス"
"188","ビ","confirmed","visual table 0:19 高層ビル"
"191","ボ","confirmed","visual table 0:72 UFOロボ グレンダイザー"
"192","パ","confirmed","visual UI context コントローラパック"
"195","ペ","confirmed","visual UI context 空きページ"
"197","!","confirmed","visual punctuation; dialogue/title context とべ!グレンダイザー"
"199","”","confirmed","visual emphasis-quote closer; dialogue context <g248>term<g199>"
"202",".","confirmed","visual table 0:166 SE.DJ-1R"
"203","、","confirmed","visual punctuation; dialogue/UI comma context"
"204","。","confirmed","visual punctuation; UI sentence terminator context"
"231","・","confirmed","visual table 0:76 超電磁ロボ コン・バトラーV"
"236","z","confirmed","visual table 0:116 RX-79(G)Ez-8"
"239","→","confirmed","visual UI preview/context 地形→LRZトリガー"
"240","…","confirmed","visual ellipsis; repeated dialogue context"
"241","P","confirmed","visual circled-P suffix icon; attack-name context post-move weapon marker"
"242","B","confirmed","visual circled-B suffix icon; attack-name context beam marker; can co-occur with 241"
"243","射","confirmed","visual attack-type icon; attack-name context ranged weapon prefix"
"244","格","confirmed","visual attack-type icon; attack-name context melee weapon prefix"
"248","“","confirmed","visual emphasis-quote opener; dialogue context <g248>term<g199>"
"249","-","confirmed","visual model-code hyphen in table 0:110-199"
"229","々","confirmed","visual dialogue context 我々"
"318","命","confirmed","visual UI context 命中"
"319","中","confirmed","visual UI context 空中/地中/命中"
"320","回","confirmed","visual UI context 1回だけ"
"362","入","confirmed","visual UI context 名前を入力してください"
"374","球","confirmed","visual/context 地球人/地球圏/球形ミサイル"
"392","気","confirmed","corrected visual/context 気力/必要気力/一気"
"397","力","confirmed","visual UI/text context 気力/大きな力"
"423","方","confirmed","visual dialogue context やめた方が"
"435","大","confirmed","visual text context 大空/大地/大きな力"
"457","闘","confirmed","visual UI context 戦闘"
"528","撃","confirmed","visual title/UI context 出撃"
"568","出","confirmed","visual title/UI context 出撃"
"572","攻","confirmed","visual battle context 攻撃"
"611","名","confirmed","visual UI context 名前"
"650","行","confirmed","visual UI context 戦闘を行う"
"652","様","confirmed","visual dialogue context 貴様"
"690","俺","confirmed","visual dialogue context この俺"
"694","何","confirmed","visual dialogue context 何!?/何だと!?"
"703","我","confirmed","visual dialogue context 我ら/我々"
"756","貴","confirmed","visual dialogue context 貴様"
"831","見","confirmed","visual dialogue context 見えた/見切った"
"904","思","confirmed","visual dialogue context 思うな/思った"
"911","私","confirmed","visual dialogue context この私"
"1028","切","confirmed","visual dialogue context 見切った"
"1037","前","confirmed","visual UI/dialogue context 名前/お前"
"436","将","confirmed","visual/context 暗黒大将軍 and enemy general names"
"437","軍","confirmed","visual/context 暗黒大将軍 and enemy general names"
"446","皇","confirmed","visual/context 皇帝ズール"
"447","帝","confirmed","visual/context 皇帝ズール and ブライ大帝"
"456","小","confirmed","visual/context 第08MS小隊"
"461","王","confirmed","visual/context 宇宙の王者ゴッドマーズ"
"472","隊","confirmed","visual/context 第08MS小隊 and ブラッキー隊長"
"473","長","confirmed","visual/context 隊長 and 大隊長"
"489","島","confirmed","visual/context ランタオ島"
"529","時","confirmed","visual/context 攻撃時/出撃時/時は流れた"
"569","決","confirmed","visual/context 決戦"
"583","上","confirmed","visual/context 上回って/能力を上げます"
"610","用","confirmed","visual/context 使用できません and 用意"
"617","正","confirmed","visual/context 正しい/正々堂々"
"628","来","confirmed","visual/context 敵機襲来 and 来る"
"635","一","confirmed","visual/context 一度だけ/一回だけ"
"640","効","confirmed","visual/context 無効/効果"
"664","意","confirmed","visual/context 用意はいいかい"
"698","果","confirmed","visual/context 効果がありません"
"812","君","confirmed","visual/context 君たち/君の戦い"
"898","使","confirmed","visual/context 使用できません/使っても"
"909","死","confirmed","visual/context 死闘/死神"
"926","捨","confirmed","visual/context 使い捨て"
"929","者","confirmed","visual/context 宇宙の王者/使者"
"938","手","confirmed","visual/context 相手/手に入れた"
"1050","相","confirmed","visual/context 相手"
"1135","度","confirmed","visual/context 一度だけ/程度"
"1136","奴","confirmed","visual/context 奴め/奴ら"
"1141","当","confirmed","visual/context 体当たり"
"1211","聞","confirmed","visual/context 聞こえてきた/聞かせよ"
"361","進","confirmed","visual/context 発進せよ"
"385","性","confirmed","visual/context 運動性"
"407","発","confirmed","visual/context 発進せよ"
"425","改","confirmed","visual/context ザクⅡ改/改めて/改造"
"430","量","confirmed","visual/context 技量が上回って"
"451","銀","confirmed","visual/context 銀河帝国 and 銀河の果て"
"482","女","confirmed","visual/context 女帝ジャネラ"
"508","作","confirmed","visual/context 作戦"
"533","丈","confirmed","visual/context 大丈夫"
"537","部","confirmed","visual/context 部隊"
"555","兵","confirmed","visual/context マップ兵器"
"557","特","confirmed","visual/context 特殊能力/特殊技能"
"558","技","confirmed","visual/context 技量/技能"
"566","味","confirmed","visual/context 味方"
"571","移","confirmed","visual/context 移動力"
"573","能","confirmed","visual/context 特殊能力"
"586","修","confirmed","visual/context 修理"
"587","理","confirmed","visual/context 修理/無理"
"588","造","confirmed","visual/context 改造"
"590","器","confirmed","visual/context 武器/兵器"
"598","本","confirmed","visual/context 本体/本来"
"603","装","confirmed","visual/context 連装ミサイル"
"606","最","confirmed","visual/context 最大HP/出力最大"
"612","射","confirmed","visual/context 射程"
"613","程","confirmed","visual/context 射程/程度"
"619","殊","confirmed","visual/context 特殊能力/特殊技能"
"624","反","confirmed","visual/context 反撃/反応"
"625","応","confirmed","visual/context 反応ロスト"
"634","全","confirmed","visual/context 全体移動モード"
"641","率","confirmed","visual/context 命中率"
"648","終","confirmed","visual/context 終了"
"649","了","confirmed","visual/context 終了"
"660","以","confirmed","visual/context これ以上/ユニット以外"
